"intensity","duration","a","b","c","d","attempts","randomized","natural","condition","Incorrect","Comparison","Adult","Gender","exemplar","File_Extension"
100,6,0,0,1,1,1,81,"MSc02","c","d","Mad - Scared","a","f","af2","_mad"
100,6,0,0,1,1,1,82,"MSc11","d","c","Mad - Scared","a","f","af3","_scared"
100,6,0,0,1,1,1,83,"MSc04","c","d","Mad - Scared","a","f","af4","_mad"
100,6,0,0,1,1,1,84,"MSc05","c","d","Mad - Scared","a","m","am1","_mad"
100,6,0,0,1,1,1,85,"MSc15","d","c","Mad - Scared","a","m","am3","_scared"
100,6,0,0,1,1,1,86,"MSc14","d","c","Mad - Scared","a","m","am2","_scared"
100,6,0,0,1,1,1,87,"MSc03","c","d","Mad - Scared","a","f","af3","_mad"
100,6,0,0,1,1,1,88,"MSc09","d","c","Mad - Scared","a","f","af1","_scared"
100,6,1,1,0,0,1,89,"HSa14","b","a","Happy - Sad","a","m","am2","_sad"
100,6,1,1,0,0,1,90,"HSa07","a","b","Happy - Sad","a","m","am3","_happy"
100,6,1,1,0,0,1,91,"HSa06","a","b","Happy - Sad","a","m","am2","_happy"
100,6,1,1,0,0,1,92,"HSa08","a","b","Happy - Sad","a","m","am4","_happy"
100,6,1,1,0,0,1,93,"HSa05","a","b","Happy - Sad","a","m","am1","_happy"
100,6,1,1,0,0,1,94,"HSa09","b","a","Happy - Sad","a","f","af1","_sad"
100,6,1,1,0,0,1,95,"HSa10","b","a","Happy - Sad","a","f","af2","_sad"
100,6,1,1,0,0,1,96,"HSa16","b","a","Happy - Sad","a","m","am4","_sad"
