intensity,duration,a,b,c,d,attempts,randomized,natural,condition,Adult,Gender,Exemplarno,exemplar,Emotion,File_Extension,block,trial_id
100,6,1,1,1,1,0,34,46,b,a,m,2,am2,Sad,_sad,3,T42
100,12,1,1,1,1,0,35,37,a,a,f,4,af4,Happy,_happy,3,T43
100,6,1,1,1,1,0,36,47,c,a,m,2,am2,Mad,_mad,3,T44
100,12,1,1,1,1,0,37,34,b,a,f,1,af1,Sad,_sad,3,T45
100,12,1,1,1,1,0,38,42,b,a,m,1,am1,Sad,_sad,3,T46
100,12,1,1,1,1,0,39,45,a,a,m,2,am2,Happy,_happy,3,T47
100,6,1,1,1,1,0,40,41,a,a,m,1,am1,Happy,_happy,3,T48
100,12,1,1,1,1,0,41,40,d,a,f,4,af4,Scared,_scared,3,T49
100,6,1,1,1,1,0,42,39,c,a,f,4,af4,Mad,_mad,3,T50
100,6,1,1,1,1,0,43,33,a,a,f,1,af1,Happy,_happy,3,T51
100,6,1,1,1,1,0,44,48,d,a,m,2,am2,Scared,_scared,3,T52
100,12,1,1,1,1,0,45,43,c,a,m,1,am1,Mad,_mad,3,T53
100,12,1,1,1,1,0,46,44,d,a,m,1,am1,Scared,_scared,3,T54
100,6,1,1,1,1,0,47,38,b,a,f,4,af4,Sad,_sad,3,T55
100,6,1,1,1,1,0,48,36,d,a,f,1,af1,Scared,_scared,3,T56
100,12,1,1,1,1,0,49,54,b,a,f,4,af4,Sad,_sad,4,T57
100,12,1,1,1,1,0,50,52,d,a,f,1,af1,Scared,_scared,4,T58
100,12,1,1,1,1,0,51,64,d,a,m,2,am2,Scared,_scared,4,T59
100,6,1,1,1,1,0,52,53,a,a,f,4,af4,Happy,_happy,4,T60
100,6,1,1,1,1,0,53,59,c,a,m,1,am1,Mad,_mad,4,T61
100,12,1,1,1,1,0,54,49,a,a,f,1,af1,Happy,_happy,4,T62
100,12,1,1,1,1,0,55,55,c,a,f,4,af4,Mad,_mad,4,T63
100,6,1,1,1,1,0,56,60,d,a,m,1,am1,Scared,_scared,4,T64
100,12,1,1,1,1,0,57,63,c,a,m,2,am2,Mad,_mad,4,T65
100,6,1,1,1,1,0,58,61,a,a,m,2,am2,Happy,_happy,4,T66
100,6,1,1,1,1,0,59,50,b,a,f,1,af1,Sad,_sad,4,T67
100,6,1,1,1,1,0,60,56,d,a,f,4,af4,Scared,_scared,4,T68
100,12,1,1,1,1,0,61,62,b,a,m,2,am2,Sad,_sad,4,T69
100,12,1,1,1,1,0,62,57,a,a,m,1,am1,Happy,_happy,4,T70
100,6,1,1,1,1,0,63,58,b,a,m,1,am1,Sad,_sad,4,T71
100,6,1,1,1,1,0,64,51,c,a,f,1,af1,Mad,_mad,4,T72
